complex_id,instance_a,instance_b,n_pairs_a,n_pairs_b,direct,swapped,delta
PDB-CPX-172174,11gl a1 i1,11gm a1 i1,19,14,0.5714,0.5714,0.0
PDB-CPX-172174,11gl a1 i1,11gm a2 i1,19,17,0.6364,0.7143,0.0779
PDB-CPX-172174,11gl a1 i1,11gn a1 i1,19,17,0.7143,0.5652,-0.1491
PDB-CPX-172174,11gl a1 i1,11gn a2 i1,19,17,0.6364,0.7143,0.0779
PDB-CPX-172174,11gl a1 i1,4jc5 a1 i1,19,4,0.0,0.0952,0.0952
PDB-CPX-172174,11gl a1 i1,4kby a1 i1,19,11,0.0,0.0,0.0
PDB-CPX-172174,11gl a1 i1,4kc0 a1 i1,19,13,0.0,0.0,0.0
PDB-CPX-172174,11gl a1 i1,4loj a1 i1,19,19,0.7273,0.6522,-0.0751
PDB-CPX-172174,11gl a1 i1,4lok a1 i1,19,17,0.5652,0.5652,0.0
PDB-CPX-172174,11gl a1 i1,4lol a1 i1,19,7,0.1304,0.0833,-0.0471
PDB-CPX-172174,11gl a1 i1,4yp1 a1 i1,19,20,0.56,0.56,0.0
PDB-CPX-172174,11gl a1 i1,6xnn a1 i1,19,19,0.52,0.5833,0.0633
PDB-CPX-172174,11gl a1 i1,9ltf a1 i1,19,10,0.0,0.0,0.0
PDB-CPX-172174,11gm a1 i1,11gm a2 i1,14,17,0.8235,0.8235,0.0
PDB-CPX-172174,11gm a1 i1,11gn a1 i1,14,17,0.7222,0.7222,0.0
PDB-CPX-172174,11gm a1 i1,11gn a2 i1,14,17,0.8235,0.8235,0.0
PDB-CPX-172174,11gm a1 i1,4jc5 a1 i1,14,4,0.0588,0.0588,0.0
PDB-CPX-172174,11gm a1 i1,4kby a1 i1,14,11,0.0,0.0,0.0
PDB-CPX-172174,11gm a1 i1,4kc0 a1 i1,14,13,0.0,0.0,0.0
PDB-CPX-172174,11gm a1 i1,4loj a1 i1,14,19,0.7368,0.7368,0.0
PDB-CPX-172174,11gm a1 i1,4lok a1 i1,14,17,0.6316,0.6316,0.0
PDB-CPX-172174,11gm a1 i1,4lol a1 i1,14,7,0.1053,0.05,-0.0553
PDB-CPX-172174,11gm a1 i1,4yp1 a1 i1,14,20,0.5455,0.5455,0.0
PDB-CPX-172174,11gm a1 i1,6xnn a1 i1,14,19,0.5714,0.5714,0.0
PDB-CPX-172174,11gm a1 i1,9ltf a1 i1,14,10,0.0,0.0,0.0
PDB-CPX-172174,11gm a2 i1,11gn a1 i1,17,17,0.7895,0.8889,0.0994
PDB-CPX-172174,11gm a2 i1,11gn a2 i1,17,17,1.0,0.8889,-0.1111
PDB-CPX-172174,11gm a2 i1,4jc5 a1 i1,17,4,0.05,0.05,0.0
PDB-CPX-172174,11gm a2 i1,4kby a1 i1,17,11,0.0,0.0,0.0
PDB-CPX-172174,11gm a2 i1,4kc0 a1 i1,17,13,0.0,0.0,0.0
PDB-CPX-172174,11gm a2 i1,4loj a1 i1,17,19,0.8,0.8947,0.0947
PDB-CPX-172174,11gm a2 i1,4lok a1 i1,17,17,0.7,0.7,0.0
PDB-CPX-172174,11gm a2 i1,4lol a1 i1,17,7,0.0909,0.0909,0.0
PDB-CPX-172174,11gm a2 i1,4yp1 a1 i1,17,20,0.6087,0.6087,0.0
PDB-CPX-172174,11gm a2 i1,6xnn a1 i1,17,19,0.6364,0.6364,0.0
PDB-CPX-172174,11gm a2 i1,9ltf a1 i1,17,10,0.0,0.0,0.0
PDB-CPX-172174,11gn a1 i1,11gn a2 i1,17,17,0.7895,0.8889,0.0994
PDB-CPX-172174,11gn a1 i1,4jc5 a1 i1,17,4,0.0,0.05,0.05
PDB-CPX-172174,11gn a1 i1,4kby a1 i1,17,11,0.0,0.0,0.0
PDB-CPX-172174,11gn a1 i1,4kc0 a1 i1,17,13,0.0,0.0,0.0
PDB-CPX-172174,11gn a1 i1,4loj a1 i1,17,19,0.8,0.7143,-0.0857
PDB-CPX-172174,11gn a1 i1,4lok a1 i1,17,17,0.7,0.7,0.0
PDB-CPX-172174,11gn a1 i1,4lol a1 i1,17,7,0.0909,0.0435,-0.0474
PDB-CPX-172174,11gn a1 i1,4yp1 a1 i1,17,20,0.6087,0.6087,0.0
PDB-CPX-172174,11gn a1 i1,6xnn a1 i1,17,19,0.6364,0.6364,0.0
PDB-CPX-172174,11gn a1 i1,9ltf a1 i1,17,10,0.0,0.0,0.0
PDB-CPX-172174,11gn a2 i1,4jc5 a1 i1,17,4,0.05,0.05,0.0
PDB-CPX-172174,11gn a2 i1,4kby a1 i1,17,11,0.0,0.0,0.0
PDB-CPX-172174,11gn a2 i1,4kc0 a1 i1,17,13,0.0,0.0,0.0
PDB-CPX-172174,11gn a2 i1,4loj a1 i1,17,19,0.8,0.8947,0.0947
PDB-CPX-172174,11gn a2 i1,4lok a1 i1,17,17,0.7,0.7,0.0
PDB-CPX-172174,11gn a2 i1,4lol a1 i1,17,7,0.0909,0.0909,0.0
PDB-CPX-172174,11gn a2 i1,4yp1 a1 i1,17,20,0.6087,0.6087,0.0
PDB-CPX-172174,11gn a2 i1,6xnn a1 i1,17,19,0.6364,0.6364,0.0
PDB-CPX-172174,11gn a2 i1,9ltf a1 i1,17,10,0.0,0.0,0.0
PDB-CPX-172174,4jc5 a1 i1,4kby a1 i1,4,11,0.0,0.0,0.0
PDB-CPX-172174,4jc5 a1 i1,4kc0 a1 i1,4,13,0.0,0.0,0.0
PDB-CPX-172174,4jc5 a1 i1,4loj a1 i1,4,19,0.0455,0.0455,0.0
PDB-CPX-172174,4jc5 a1 i1,4lok a1 i1,4,17,0.0,0.05,0.05
PDB-CPX-172174,4jc5 a1 i1,4lol a1 i1,4,7,0.2222,0.375,0.1528
PDB-CPX-172174,4jc5 a1 i1,4yp1 a1 i1,4,20,0.0435,0.0435,0.0
PDB-CPX-172174,4jc5 a1 i1,6xnn a1 i1,4,19,0.0455,0.0,-0.0455
PDB-CPX-172174,4jc5 a1 i1,9ltf a1 i1,4,10,0.0,0.0,0.0
PDB-CPX-172174,4kby a1 i1,4kc0 a1 i1,11,13,0.4118,0.4118,0.0
PDB-CPX-172174,4kby a1 i1,4loj a1 i1,11,19,0.0,0.0,0.0
PDB-CPX-172174,4kby a1 i1,4lok a1 i1,11,17,0.037,0.037,0.0
PDB-CPX-172174,4kby a1 i1,4lol a1 i1,11,7,0.0,0.0,0.0
PDB-CPX-172174,4kby a1 i1,4yp1 a1 i1,11,20,0.0,0.0,0.0
PDB-CPX-172174,4kby a1 i1,6xnn a1 i1,11,19,0.0345,0.0345,0.0
PDB-CPX-172174,4kby a1 i1,9ltf a1 i1,11,10,0.6154,0.6154,0.0
PDB-CPX-172174,4kc0 a1 i1,4loj a1 i1,13,19,0.0,0.0,0.0
PDB-CPX-172174,4kc0 a1 i1,4lok a1 i1,13,17,0.0345,0.0345,0.0
PDB-CPX-172174,4kc0 a1 i1,4lol a1 i1,13,7,0.0,0.0,0.0
PDB-CPX-172174,4kc0 a1 i1,4yp1 a1 i1,13,20,0.0,0.0,0.0
PDB-CPX-172174,4kc0 a1 i1,6xnn a1 i1,13,19,0.0323,0.0667,0.0344
PDB-CPX-172174,4kc0 a1 i1,9ltf a1 i1,13,10,0.5333,0.5333,0.0
PDB-CPX-172174,4loj a1 i1,4lok a1 i1,19,17,0.7143,0.6364,-0.0779
PDB-CPX-172174,4loj a1 i1,4lol a1 i1,19,7,0.0833,0.0833,0.0
PDB-CPX-172174,4loj a1 i1,4yp1 a1 i1,19,20,0.56,0.56,0.0
PDB-CPX-172174,4loj a1 i1,6xnn a1 i1,19,19,0.5833,0.5833,0.0
PDB-CPX-172174,4loj a1 i1,9ltf a1 i1,19,10,0.0,0.0,0.0
PDB-CPX-172174,4lok a1 i1,4lol a1 i1,17,7,0.0435,0.0435,0.0
PDB-CPX-172174,4lok a1 i1,4yp1 a1 i1,17,20,0.6818,0.6818,0.0
PDB-CPX-172174,4lok a1 i1,6xnn a1 i1,17,19,0.7143,0.6364,-0.0779
PDB-CPX-172174,4lok a1 i1,9ltf a1 i1,17,10,0.0385,0.0385,0.0
PDB-CPX-172174,4lol a1 i1,4yp1 a1 i1,7,20,0.08,0.08,0.0
PDB-CPX-172174,4lol a1 i1,6xnn a1 i1,7,19,0.0833,0.0833,0.0
PDB-CPX-172174,4lol a1 i1,9ltf a1 i1,7,10,0.0,0.0,0.0
PDB-CPX-172174,4yp1 a1 i1,6xnn a1 i1,20,19,0.56,0.56,0.0
PDB-CPX-172174,4yp1 a1 i1,9ltf a1 i1,20,10,0.0,0.0,0.0
PDB-CPX-172174,6xnn a1 i1,9ltf a1 i1,19,10,0.0357,0.0357,0.0
PDB-CPX-130029,1spq a1 i1,1sq7 a1 i1,23,25,0.92,0.92,0.0
PDB-CPX-130029,1spq a1 i1,1ssd a1 i1,23,22,0.9565,0.9565,0.0
PDB-CPX-130029,1spq a1 i1,1ssg a1 i1,23,23,0.84,0.84,0.0
PDB-CPX-130029,1spq a1 i1,1su5 a1 i1,23,25,0.92,0.92,0.0
PDB-CPX-130029,1spq a1 i1,1sw0 a1 i1,23,23,1.0,1.0,0.0
PDB-CPX-130029,1spq a1 i1,1sw3 a1 i1,23,24,0.9583,0.9583,0.0
PDB-CPX-130029,1spq a1 i1,1sw7 a1 i1,23,23,1.0,1.0,0.0
PDB-CPX-130029,1spq a1 i1,1tim a1 i1,23,19,0.75,0.75,0.0
PDB-CPX-130029,1spq a1 i1,1tpb a1 i1,23,23,1.0,1.0,0.0
PDB-CPX-130029,1spq a1 i1,1tpc a1 i1,23,22,0.9565,0.9565,0.0
PDB-CPX-130029,1spq a1 i1,1tph a1 i1,23,23,1.0,1.0,0.0
PDB-CPX-130029,1spq a1 i1,1tpu a1 i1,23,22,0.9565,0.9565,0.0
PDB-CPX-130029,1spq a1 i1,1tpv a1 i1,23,24,0.9583,0.9583,0.0
PDB-CPX-130029,1spq a1 i1,1tpw a1 i1,23,24,0.88,0.88,0.0
PDB-CPX-130029,1spq a1 i1,4p61 a1 i1,23,25,0.92,0.92,0.0
PDB-CPX-130029,1spq a1 i1,8tim a1 i1,23,22,0.875,0.875,0.0
PDB-CPX-130029,1sq7 a1 i1,1ssd a1 i1,25,22,0.88,0.88,0.0
PDB-CPX-130029,1sq7 a1 i1,1ssg a1 i1,25,23,0.7778,0.7778,0.0
